"country","TotalCases","MissingCases","MissingPct"
NA,28,28,100
"Albania",1,0,0
"Armenia",1,0,0
"Austria",1,0,0
"Azerbaijan",1,0,0
"Bangladesh",1,0,0
"Belarus",1,0,0
"Belgium",1,0,0
"Bolivia",2,0,0
"Bosnia and Herzegovina",2,0,0
"Botswana",1,0,0
"Brazil",1,0,0
"Bulgaria",1,0,0
"Burkina Faso",2,0,0
"Burundi",1,0,0
"Cambodia",1,0,0
"Canada",1,0,0
"Cape Verde",1,0,0
"Central African Republic",1,0,0
"Chile",1,0,0
"Colombia",1,0,0
"Congo, Democratic Republic of the",1,0,0
"Costa Rica",2,0,0
"Cote d'Ivoire (Ivory Coast)",1,0,0
"Croatia",2,0,0
"Czech Republic",1,0,0
"Denmark",1,0,0
"Djibouti",1,0,0
"Dominican Republic",2,0,0
"Ecuador",2,0,0
"Egypt",2,0,0
"El Salvador",2,0,0
"Estonia",1,0,0
"Ethiopia",1,0,0
"Fiji",1,0,0
"Finland",1,0,0
"France",2,0,0
"Gambia",1,0,0
"Georgia",2,0,0
"Germany",2,0,0
"Ghana",1,0,0
"Greece",1,0,0
"Guinea",1,0,0
"Guinea-Bissau",1,0,0
"Guyana",1,0,0
"Haiti",1,0,0
"Honduras",1,0,0
"Hungary",2,0,0
"Iceland",2,0,0
"India",1,0,0
"Indonesia",1,0,0
"Iran, Islamic Republic of",2,0,0
"Iraq",1,0,0
"Ireland",1,0,0
"Israel",1,0,0
"Italy",1,0,0
"Jamaica",1,0,0
"Japan",2,0,0
"Jordan",1,0,0
"Kazakhstan",2,0,0
"Pakistan",1,0,0
"Panama",3,0,0
"Paraguay",2,0,0
"Peru",1,0,0
"Philippines",2,0,0
"Poland",1,0,0
"Portugal",1,0,0
"Romania",1,0,0
"Russian Federation",7,0,0
"Rwanda",1,0,0
"Serbia",1,0,0
"Sierra Leone",2,0,0
"Singapore",1,0,0
"Slovakia",1,0,0
"Slovenia",1,0,0
"Solomon Islands",1,0,0
"South Africa",1,0,0
"Spain",1,0,0
"Sri Lanka",1,0,0
"Sweden",1,0,0
"Switzerland",1,0,0
"Syria (Syrian Arab Republic)",1,0,0
"Tajikistan",2,0,0
"Thailand",4,0,0
"Trinidad and Tobago",1,0,0
"Tunisia",2,0,0
"Turkey",1,0,0
"Turkmenistan",1,0,0
"Ukraine",3,0,0
"United Arab Emirates",1,0,0
"United Kingdom (Great Britain)",1,0,0
"United States of America",1,0,0
"Uruguay",1,0,0
"Uzbekistan",2,0,0
"Venezuela, Bolivarian Republic of",1,0,0
"Viet Nam",1,0,0
"Zambia",2,0,0
"Zimbabwe",1,0,0
